Title,Year,Rating
Coco,2017,8.31
American Beauty,1999,8.31
Braveheart,1995,8.30
Das Boot,1981,8.30
3 Idiots,2009,8.29
1917,2019,8.29
Toy Story,1995,8.29
Tengoku to jigoku,1963,8.29
Taare Zameen Par,2007,8.29
Inglourious Basterds,2009,8.29
Star Wars: Episode VI - Return of the Jedi,1983,8.28
Amadeus,1984,8.28
Reservoir Dogs,1992,8.28
Good Will Hunting,1997,8.27
2001: A Space Odyssey,1968,8.27
Vertigo,1958,8.26
Requiem for a Dream,2000,8.26
M - Eine Stadt sucht einen Mörder,1931,8.26
Dangal,2016,8.26
Eternal Sunshine of the Spotless Mind,2004,8.26
Citizen Kane,1941,8.25
Capharnaüm,2018,8.25
Jagten,2012,8.25
Full Metal Jacket,1987,8.25
North by Northwest,1959,8.25
A Clockwork Orange,1971,8.24
Ladri di biciclette,1948,8.24
The Kid,1921,8.24
Snatch,2000,8.24
Singin' in the Rain,1952,8.24
Scarface,1983,8.24
Taxi Driver,1976,8.24
Amélie,2001,8.23
Lawrence of Arabia,1962,8.23
The Sting,1973,8.23
Toy Story 3,2010,8.23
Metropolis,1927,8.23
Ikiru,1952,8.23
Per qualche dollaro in più,1965,8.23
Jodaeiye Nader az Simin,2011,8.22
Double Indemnity,1944,8.22
The Apartment,1960,8.22
Incendies,2010,8.21
To Kill a Mockingbird,1962,8.21
Indiana Jones and the Last Crusade,1989,8.21
Up,2009,8.21
L.A. Confidential,1997,8.20
Heat,1995,8.20
Monty Python and the Holy Grail,1975,8.20
Die Hard,1988,8.19
Rashômon,1950,8.19
Yôjinbô,1961,8.19
Batman Begins,2005,8.19
Idi i smotri,1985,8.18
Green Book,2018,8.18
Bacheha-Ye aseman,1997,8.18
Der Untergang,2004,8.18
Unforgiven,1992,8.18
Some Like It Hot,1959,8.17
The Wolf of Wall Street,2013,8.17
Hauru no ugoku shiro,2004,8.17
Ran,1985,8.17
The Great Escape,1963,8.16
All About Eve,1950,8.16
A Beautiful Mind,2001,8.16
Casino,1995,8.16
Pan's Labyrinth,2006,8.15
Tonari no Totoro,1988,8.15
El secreto de sus ojos,2009,8.15
Raging Bull,1980,8.15
Lock. Stock and Two Smoking Barrels,1998,8.15
Judgment at Nuremberg,1961,8.14
The Treasure of the Sierra Madre,1948,8.14
There Will Be Blood,2007,8.13
Babam ve Oglum,2005,8.13
Three Billboards Outside Ebbing. Missouri,2017,8.13
The Gold Rush,1925,8.13
Chinatown,1974,8.13
Dial M for Murder,1954,8.13
V for Vendetta,2005,8.12
Det sjunde inseglet,1957,8.12
No Country for Old Men,2007,8.12
Inside Out,2015,8.12
Warrior,2011,8.12
Shutter Island,2010,8.12
Trainspotting,1996,8.11
Portrait de la jeune fille en feu,2019,8.11
The Elephant Man,1980,8.11
The Sixth Sense,1999,8.11
The Thing,1982,8.11
Gone with the Wind,1939,8.10
Room,2015,8.10
Smultronstället,1957,8.10
Blade Runner,1982,8.10
The Bridge on the River Kwai,1957,8.10
Finding Nemo,2003,8.10
Jurassic Park,1993,8.10
Stalker,1979,8.10
On the Waterfront,1954,8.10
The Third Man,1949,8.10
Fargo,1996,8.09
Kill Bill: Vol. 1,2003,8.09
The Truman Show,1998,8.09
Gran Torino,2008,8.09
Tôkyô monogatari,1953,8.09
The Deer Hunter,1978,8.09
Salinui chueok,2003,8.09
Relatos salvajes,2014,8.09
Klaus,2019,8.08
Andhadhun,2018,8.08
Eskiya,1996,8.08
Ford v Ferrari,2019,8.08
The Big Lebowski,1998,8.08
Mary and Max,2009,8.08
In the Name of the Father,1993,8.08
Gone Girl,2014,8.08
Hacksaw Ridge,2016,8.08
To Be or Not to Be,1942,8.07
The Grand Budapest Hotel,2014,8.07
Persona,1966,8.07
Before Sunrise,1995,8.07
Catch Me If You Can,2002,8.07
How to Train Your Dragon,2010,8.07
The General,1926,8.07
Mr. Smith Goes to Washington,1939,8.07
Sherlock Jr.,1924,8.06
Prisoners,2013,8.06
12 Years a Slave,2013,8.06
Cool Hand Luke,1967,8.05
Mad Max: Fury Road,2015,8.05
Barry Lyndon,1975,8.05
Network,1976,8.05
Le salaire de la peur,1953,8.05
Stand by Me,1986,8.05
Into the Wild,2007,8.05
Million Dollar Baby,2004,8.05
Life of Brian,1979,8.05
Hachi: A Dog's Tale,2009,8.05
Platoon,1986,8.05
Ben-Hur,1959,8.05
Rush,2013,8.05
La passion de Jeanne d'Arc,1928,8.05
Logan,2017,8.04
Dead Poets Society,1989,8.04
Harry Potter and the Deathly Hallows: Part 2,2011,8.04
Andrei Rublev,1966,8.04
Les quatre cents coups,1959,8.04
Hotel Rwanda,2004,8.04
Amores perros,2000,8.04
Rang De Basanti,2006,8.04
Spotlight,2015,8.04
Kaze no tani no Naushika,1984,8.04
Ah-ga-ssi,2016,8.04
Rocky,1976,8.03
Rebecca,1940,8.03
Monsters. Inc.,2001,8.03
La haine,1995,8.02
It Happened One Night,1934,8.02
Gangs of Wasseypur,2012,8.01
Faa yeung nin wa,2000,8.01
Before Sunset,2004,8.01
The Princess Bride,1987,8.01
The Help,2011,8.01
Paris. Texas,1984,8.01
Contratiempo,2016,8.01
Drishyam,2015,8.00
The Terminator,1984,8.00
Ace in the Hole,1951,8.00
Kis Uykusu,2014,8.00
Lagaan: Once Upon a Time in India,2001,8.00
Butch Cassidy and the Sundance Kid,1969,8.00
Aladdin,1992,8.00
PK,2014,8.00
Akira,1988,8.00
Kumonosu-jô,1957,8.00
Slumdog Millionaire,2008,8.0
Blade Runner 2049,2017,8.0
Guardians of the Galaxy,2014,8.0
The Gentlemen,2019,7.9
Knives Out,2019,7.9
Little Women,2019,7.9
Jojo Rabbit,2019,7.9
Call Me by Your Name,2017,7.9
The Irishman,2019,7.9
Life of Pi,2012,7.9
Thor: Ragnarok,2017,7.9
Almost Famous,2000,7.9
The Breakfast Club,1985,7.9
The Goonies,1985,7.8
Titanic,1997,7.8
Once Upon a Time... in Hollywood,2019,7.7
The Lighthouse,2019,7.6
Harry Potter and the Sorcerer's Stone,2001,7.6
Onward,2020,7.5
Uncut Gems,2019,7.5
Spider-Man: Far from Home,2019,7.5
Doctor Sleep,2019,7.4
It,2017,7.3
Bad Education,2019,7.2
The Invisible Man,2020,7.2
Midsommar,2019,7.1
Snowpiercer,2013,7.1
